"Path","Inbound"
"src\App.jsx","2"
"src\CameraProbe.tsx","1"
"src\components\Grow\EditStageStatusModal.jsx","1"
"src\components\Grow\GrowCard.jsx","0"
"src\components\Grow\GrowDetail.jsx","1"
"src\components\Grow\GrowFilters.jsx","5"
"src\components\Grow\GrowForm.jsx","4"
"src\components\Grow\GrowList.jsx","2"
"src\components\Grow\GrowModal.jsx","0"
"src\components\Grow\GrowNotesModal.jsx","0"
"src\components\Grow\GrowTimeline.jsx","3"
"src\components\Grow\LabelPrint.jsx","1"
"src\components\Grow\LabelPrintWrapper.jsx","2"
"src\components\Grow\StageNotesPhotosModal.jsx","0"
"src\components\Layout\header.jsx","0"
"src\components\Layout\Layout.jsx","0"
"src\components\Layout\Navbar.jsx","0"
"src\components\recipes\COGManager.jsx","2"
"src\components\recipes\RecipeManager.jsx","2"
"src\components\recipes\RecipeStepsPanel.jsx","1"
"src\components\settings\BackupExport.jsx","0"
"src\components\settings\BackupImport.jsx","0"
"src\components\Tasks\TaskManager.jsx","2"
"src\components\ui\ConfirmDialog.jsx","11"
"src\components\ui\DashboardStats.jsx","1"
"src\components\ui\FabQuickActions.jsx","1"
"src\components\ui\LocalReminders.jsx","1"
"src\components\ui\LogoutButton.jsx","0"
"src\components\ui\OnboardingModal.jsx","1"
"src\components\ui\PhotoGallery.jsx","0"
"src\components\ui\PhotoUpload.jsx","0"
"src\components\ui\ScanBarcodeModal.jsx","1"
"src\components\ui\SplashScreen.jsx","1"
"src\desktop.css","0"
"src\dev\diag-auth.js","0"
"src\firebase-config.js","32"
"src\hooks\useGrows.js","0"
"src\hooks\usePhotos.js","2"
"src\hooks\useTasks.js","0"
"src\index.css","2"
"src\lib\growFilters.js","5"
"src\lib\image-utils.js","0"
"src\lib\persist-idb.js","1"
"src\lib\queryClient.js","1"
"src\lib\units.js","1"
"src\main.jsx","0"
"src\mobile.css","0"
"src\pages\Analytics.jsx","2"
"src\pages\Archive.jsx","2"
"src\pages\Auth.jsx","9"
"src\pages\BackupManager.jsx","0"
"src\pages\CalendarView.jsx","2"
"src\pages\ClearGrowDataButton.jsx","0"
"src\pages\Dashboard.jsx","0"
"src\pages\ImportExportButtons.jsx","0"
"src\pages\Login.jsx","0"
"src\pages\QuickEdit.jsx","1"
"src\pages\Settings.jsx","2"
"src\pages\Signup.jsx","0"
"src\pages\StrainManager.jsx","2"
"src\pages\Timeline.jsx","0"
"src\providers\QueryProvider.jsx","1"
"src\styles\theme.css","1"
"src\utils\firestore.js","29"
"src\utils\OnboardingCoach.jsx","1"
"src\utils\storage.js","5"
"src\utils\tourSteps.js","1"
